Date,platform,ms_played,Country,Track_name,Album_artist_name,Album_album_name,spotify_track_uri,skipped,offline,Year,Month,Month_name,Day,Hour,Weekday,hour,time_of_day,track_id,cover_url
2025-01-01 05:53:50+00:00,android,3.9583166666666667,IN,Esandleni,Nontokozo Mkhize,Esandleni,spotify:track:7LTDINonhUaOiWTyN3AxCI,True,False,2025,1,January,1,5,Wednesday,5,Night,7LTDINonhUaOiWTyN3AxCI,https://i.scdn.co/image/ab67616d0000b2733c8284fe3592ea29ee046585
2025-01-01 05:57:25+00:00,android,3.56735,IN,Kuyabongwa,ChubbyCheeks,Kuyabongwa,spotify:track:5126E37MXDlVwL3GNsFE81,False,False,2025,1,January,1,5,Wednesday,5,Night,5126E37MXDlVwL3GNsFE81,https://i.scdn.co/image/ab67616d0000b2732b8b0de315e70e2f6ac1f89a
2025-01-01 06:15:31+00:00,android,1.8903333333333334,IN,Ungukuphila,Xolly Mncwango,Jesus Is Enough,spotify:track:53wwaMp15eGyE12Cm7sxLa,False,False,2025,1,January,1,6,Wednesday,6,Morning,53wwaMp15eGyE12Cm7sxLa,https://i.scdn.co/image/ab67616d0000b273d4d2e2354313eb78f3916892
2025-01-01 10:23:32+00:00,android,5.68915,IN,Shayi'Moto (feat. Seemah & Yanda Woods),Mellow & Sleazy,Shayi'Moto (feat. Seemah & Yanda Woods),spotify:track:0AQfRLzd7pQZcLtfh9Onb8,True,False,2025,1,January,1,10,Wednesday,10,Morning,0AQfRLzd7pQZcLtfh9Onb8,https://i.scdn.co/image/ab67616d0000b273d8b8fdbbce991806957a7d22
2025-01-01 10:31:03+00:00,android,7.506916666666667,IN,"Biri Marung (Edit) (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",Mr Pilato,"Biri Marung (Edit) (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",spotify:track:44Z9yOoNfCafT8nPZCimMs,True,False,2025,1,January,1,10,Wednesday,10,Morning,44Z9yOoNfCafT8nPZCimMs,https://i.scdn.co/image/ab67616d0000b273e489358637ab08e8b21809b4
2025-01-01 10:31:24+00:00,android,0.3327666666666667,IN,Yebo Lapho (Gogo) (feat. DJ Maphorisa & Djy Biza),Felo Le Tee,Yebo Lapho (Gogo) (feat. DJ Maphorisa & Djy Biza),spotify:track:0NLRYW9HyqHcbyzfAwskKN,True,False,2025,1,January,1,10,Wednesday,10,Morning,0NLRYW9HyqHcbyzfAwskKN,https://i.scdn.co/image/ab67616d0000b273aaf198ccdee7e2ea52cef725
2025-01-01 10:32:43+00:00,android,1.3133333333333332,IN,Wishi Wishi (feat. Scotts Maphuma & Young Stunna),Kabza De Small,Wishi Wishi (feat. Scotts Maphuma & Young Stunna),spotify:track:34eKUydsaj9GeMTT1ybutO,True,False,2025,1,January,1,10,Wednesday,10,Morning,34eKUydsaj9GeMTT1ybutO,https://i.scdn.co/image/ab67616d0000b2738148fc7a71e5271ea16c8bb7
2025-01-01 10:34:05+00:00,android,1.3615,IN,Shake It To The Max (FLY),MOLIY,Shake It To The Max (FLY),spotify:track:5JgNxMf1Z9oksGKidbFAUq,True,False,2025,1,January,1,10,Wednesday,10,Morning,5JgNxMf1Z9oksGKidbFAUq,https://i.scdn.co/image/ab67616d0000b2736c857af73ba031f5d38cbe39
2025-01-01 10:36:12+00:00,android,2.1224333333333334,IN,Shake It To The Max (FLY),MOLIY,Shake It To The Max (FLY),spotify:track:5JgNxMf1Z9oksGKidbFAUq,True,False,2025,1,January,1,10,Wednesday,10,Morning,5JgNxMf1Z9oksGKidbFAUq,https://i.scdn.co/image/ab67616d0000b2736c857af73ba031f5d38cbe39
2025-01-01 10:36:35+00:00,android,0.35406666666666664,IN,Venus,Faceless,Venus,spotify:track:2pNjk1fIZTMtj8ry6SdEmB,True,False,2025,1,January,1,10,Wednesday,10,Morning,2pNjk1fIZTMtj8ry6SdEmB,https://i.scdn.co/image/ab67616d0000b2738733f2e8a1db14bd2f9e9033
